http://www.stylecraze.com/articles/celebrity-inspired-bob-hairstyles-for-dark-skinned-women/;Wavy Bob With Straight Bangs;I have zero clue how Rihanna transforms her hair literally every few days. And every new look she comes up with is spectacular. She actually went pretty tame with this wavy bob look that she sported at the 2016 Billboard Music Awards. The mid-length bob has been done up in subtle waves and given a wet look. The bangs have also been kept simple and straight.;http://cdn2.stylecraze.com/wp-content/uploads/2015/06/Wavy-Bob-With-Straight-Bangs.jpg;Wavy Bob With Straight Bangs;
http://www.stylecraze.com/articles/celebrity-inspired-bob-hairstyles-for-dark-skinned-women/;Long Bob And Halfway Bangs;Rosario Dawson up in here absolutely killing it with this unconventional twist on the long bob look. Dawson is throwing caution to the wind by sporting this rough wavy long bob complemented by the quirky bangs that end halfway down her forehead. She's certainly got our stamp of approval.;http://cdn2.stylecraze.com/wp-content/uploads/2015/06/Long-Bob-And-Halfway-Bangs.jpg;Long Bob And Halfway Bangs;
http://www.stylecraze.com/articles/celebrity-inspired-bob-hairstyles-for-dark-skinned-women/;Array;Array;http://cdn2.stylecraze.com/wp-content/uploads/2015/06/Umbrella-Bob.jpg;Umbrella Bob;
http://www.stylecraze.com/articles/celebrity-inspired-bob-hairstyles-for-dark-skinned-women/;Perfectly Edged Bob;You know how in 90s cartoons the characters just had two-dimensional blobs of color on top of their heads that was supposed to be their hair? This bob cut sported by Zendaya with perfectly trimmed edges is kinda like that, in the best way possible. A little quirky with its poker straight hair and bangs, this hair look may require weekly trims to maintain its structure but the end result is totally worth the effort.;http://cdn2.stylecraze.com/wp-content/uploads/2015/06/Perfectly-Edged-Bob.jpg;Perfectly Edged Bob;
http://www.stylecraze.com/articles/celebrity-inspired-bob-hairstyles-for-dark-skinned-women/;Two-Toned Pixie Bob;Damnnn, Rihannaâ¦ back at it again with the gorgeous hairstyles. No one does a short hair look better than our RiRi. For this pixie bob look, she went for an undercut above one ear, short hair at the back, and super long side swept bangs in the front. She has upped the color game in this look by going for unblended golden highlights on her jet black hair.;http://cdn2.stylecraze.com/wp-content/uploads/2015/06/Two-Toned-Pixie-Bob.jpg;Two Toned Pixie Bob;
http://www.stylecraze.com/articles/celebrity-inspired-bob-hairstyles-for-dark-skinned-women/;Swept Away Curls Bob With Fringe;Array;http://cdn2.stylecraze.com/wp-content/uploads/2015/06/Swept-Away-Curls-Bob-With-Fringe.jpg;Swept Away Curls Bob With Fringe;
http://www.stylecraze.com/articles/celebrity-inspired-bob-hairstyles-for-dark-skinned-women/;Center-Parted Bowl Cut;If you thought there was no way that you could pull off a bowl cut, think again. Take inspiration from Tika Sumpter who has gone for a simple, no-nonsense bowl cut. She has styled her hair in a sleek middle part and kept her bangs out of the way because she probably needs to get shit done and doesn't have time for all that styling nonsense.;http://cdn2.stylecraze.com/wp-content/uploads/2015/06/Center-Parted-Bowl-Cut-1.jpg;Center Parted Bowl Cut;
http://www.stylecraze.com/articles/celebrity-inspired-bob-hairstyles-for-dark-skinned-women/;Dented Curls Short Bob;Sick of the same old cutesy curly look? Try out this interesting take on the traditional curls. This short bob look involves straightening and sleeking down the top half of your hair and creating some dented curls with the bottom half. A few drops of smoothening serum to add some shine to your hair, and you're done!;http://cdn2.stylecraze.com/wp-content/uploads/2015/06/Dented-Curls-Short-Bob.jpg;Dented Curls Short Bob;https://www.instagram.com/p/BIs8FUZDHJU/
http://www.stylecraze.com/articles/celebrity-inspired-bob-hairstyles-for-dark-skinned-women/;Naturally Curly Bob;Embrace your naturally kinky curly hair by going for this look. All you need to do is get your hair cut in a shoulder length bob and leave you natural curls as they are. To have more fun with this look, you could ombre your curls and part your hair on one side. And that's it! You're done!;http://cdn2.stylecraze.com/wp-content/uploads/2015/06/Naturally-Curly-Bob.jpg;Naturally Curly Bob;https://www.instagram.com/p/BNJDWNFhsCc/
http://www.stylecraze.com/articles/celebrity-inspired-bob-hairstyles-for-dark-skinned-women/;Purple And Pink Flicked Out Bob;Are you still harboring your childhood dream of becoming a bubblegum princess? Well, with this bright pink and purple hair color, you can get damn close to looking like one! The short bob has been cut into some shallow layers at the end and flicked outwards while the ends were being straightened to create a spiky pixie-ish look. The long side swept bangs round off the whole look with panache.;http://cdn2.stylecraze.com/wp-content/uploads/2015/06/Purple-And-Pink-Flicked-Out-Bob.jpg;Purple And Pink Flicked Out Bob;https://www.instagram.com/p/BMCLmLljm2t/
